0.png	 9-4=?
8276.png	 3x5=?
8277.png	 0+0=?
8278.png	 4+8=?
8279.png	 2x4=?
8280.png	 9x9=?
8281.png	 0x1=?
8282.png	 0x4=?
8283.png	 2x3=?
8284.png	 4-5=?
8285.png	 7-3=?
8286.png	 7+4=?
8287.png	 7+3=?
8288.png	 9+2=?
8289.png	 1-4=?
8290.png	 2x8=?
8291.png	 5-6=?
8292.png	 6-6=?
8293.png	 8+4=?
8294.png	 2x0=?
8295.png	 1-0=?
8296.png	 1+5=?
8297.png	 6+2=?
8298.png	 1-6=?
8299.png	 5-8=?
8300.png	 5x9=?
8301.png	 9+4=?
8302.png	 8-7=?
8303.png	 1+9=?
8304.png	 0+1=?
8305.png	 6x4=?
8306.png	 0x2=?
8307.png	 0-9=?
8308.png	 8-8=?
8309.png	 1x4=?
8310.png	 3-2=?
8311.png	 0-0=?
8312.png	 4-3=?
8313.png	 1+2=?
8314.png	 8-1=?
8315.png	 9x9=?
8316.png	 0-3=?
8317.png	 1x5=?
8318.png	 1+3=?
8319.png	 3-6=?
8320.png	 8+8=?
8321.png	 2+0=?
8322.png	 5+6=?
8323.png	 1x2=?
8324.png	 1x9=?
8325.png	 8x3=?
8326.png	 4+6=?
8327.png	 2+4=?
8328.png	 0x7=?
8329.png	 2x7=?
8330.png	 9x6=?
8331.png	 6+4=?
8332.png	 9-5=?
8333.png	 7+1=?
8334.png	 5+9=?
8335.png	 9-7=?
8336.png	 8+4=?
8337.png	 4+2=?
8338.png	 3x6=?
8339.png	 5x2=?
8340.png	 9-1=?
8341.png	 3+9=?
8342.png	 7x6=?
8343.png	 3-2=?
8344.png	 2-3=?
8345.png	 6-8=?
8346.png	 6+3=?
8347.png	 0-2=?
8348.png	 4+5=?
8349.png	 6-9=?
8350.png	 0-8=?
8351.png	 7-6=?
8352.png	 1-7=?
8353.png	 2x9=?
8354.png	 8+4=?
8355.png	 6+0=?
8356.png	 4-5=?
8357.png	 9-5=?
8358.png	 6-7=?
8359.png	 8+2=?
8360.png	 4+8=?
8361.png	 2+2=?
8362.png	 7x2=?
8363.png	 2x1=?
8364.png	 1+5=?
8365.png	 0+6=?
8366.png	 2+2=?
8367.png	 8+6=?
8368.png	 5-1=?
8369.png	 1+8=?
8370.png	 7+5=?
8371.png	 1x9=?
8372.png	 3-3=?
8373.png	 8x2=?
8374.png	 6+2=?
8375.png	 1x4=?
8376.png	 2+1=?
8377.png	 3x5=?
8378.png	 7+0=?
8379.png	 5-5=?
8380.png	 1-8=?
8381.png	 8x0=?
8382.png	 0x8=?
8383.png	 9x1=?
8384.png	 7-0=?
8385.png	 8x1=?
8386.png	 8x9=?
8387.png	 2x5=?
8388.png	 3+2=?
8389.png	 1+9=?
8390.png	 7x0=?
8391.png	 1+4=?
8392.png	 1-7=?
8393.png	 7-8=?
8394.png	 8+6=?
8395.png	 2-9=?
8396.png	 1+4=?
8397.png	 8-3=?
8398.png	 7-0=?
8399.png	 5x6=?
8400.png	 6x7=?
8401.png	 1x6=?
8402.png	 5+6=?
8403.png	 9-5=?
8404.png	 1+4=?
8405.png	 7x3=?
8406.png	 6+0=?
8407.png	 1x8=?
8408.png	 7-4=?
8409.png	 4-7=?
8410.png	 5+3=?
8411.png	 2x3=?
8412.png	 2+0=?
8413.png	 4-7=?
8414.png	 2+2=?
8415.png	 3+3=?
8416.png	 4x1=?
8417.png	 2x4=?
8418.png	 6x9=?
8419.png	 7+2=?
8420.png	 4x7=?
8421.png	 9+8=?
8422.png	 3x2=?
8423.png	 4x7=?
8424.png	 7x3=?
8425.png	 0x6=?
8426.png	 8-4=?
8427.png	 9x6=?
8428.png	 6+1=?
8429.png	 2+2=?
8430.png	 5+0=?
8431.png	 1x5=?
8432.png	 5+2=?
8433.png	 8x1=?
8434.png	 9-4=?
8435.png	 1-4=?
8436.png	 1-1=?
8437.png	 2-6=?
8438.png	 9-9=?
8439.png	 9-4=?
8440.png	 5+1=?
8441.png	 4+5=?
8442.png	 1-2=?
8443.png	 1+5=?
8444.png	 1x8=?
8445.png	 6x9=?
8446.png	 8+8=?
8447.png	 9x7=?
8448.png	 4+3=?
8449.png	 1+2=?
8450.png	 4+3=?
8451.png	 3-9=?
8452.png	 5+3=?
8453.png	 1+5=?
8454.png	 9-7=?
8455.png	 5-1=?
8456.png	 0+9=?
8457.png	 4x2=?
8458.png	 4+6=?
8459.png	 6x2=?
8460.png	 7+4=?
8461.png	 0-1=?
8462.png	 9+1=?
8463.png	 8-3=?
8464.png	 0-1=?
8465.png	 6-1=?
8466.png	 5+9=?
8467.png	 5-7=?
8468.png	 3x2=?
8469.png	 7x3=?
8470.png	 4-7=?
8471.png	 4+7=?
8472.png	 4+6=?
8473.png	 6-0=?
8474.png	 3x9=?
8475.png	 1-0=?
8476.png	 0x7=?
8477.png	 3-7=?
8478.png	 0+9=?
8479.png	 8-7=?
8480.png	 8x9=?
8481.png	 6x1=?
8482.png	 1-7=?
8483.png	 7-9=?
8484.png	 5+6=?
8485.png	 5x0=?
8486.png	 8+6=?
8487.png	 1x2=?
8488.png	 6x0=?
8489.png	 2x5=?
8490.png	 7x2=?
8491.png	 3+8=?
8492.png	 4-8=?
8493.png	 5+3=?
8494.png	 0+8=?
8495.png	 4-3=?
8496.png	 9+8=?
8497.png	 5-1=?
8498.png	 5+1=?
8499.png	 9+4=?
8500.png	 6+3=?
8501.png	 0-8=?
8502.png	 9x7=?
8503.png	 6x2=?
8504.png	 9+6=?
8505.png	 7-3=?
8506.png	 7+8=?
8507.png	 1x6=?
8508.png	 1-6=?
8509.png	 0-1=?
8510.png	 9+7=?
8511.png	 2-7=?
8512.png	 4-4=?
8513.png	 5-8=?
8514.png	 3-0=?
8515.png	 8-0=?
8516.png	 1+9=?
8517.png	 3x5=?
8518.png	 3+4=?
8519.png	 9-1=?
8520.png	 5-8=?
8521.png	 4+6=?
8522.png	 9+8=?
8523.png	 7+4=?
8524.png	 9x6=?
8525.png	 8+4=?
8526.png	 9-2=?
8527.png	 7-9=?
8528.png	 1x6=?
8529.png	 6+4=?
8530.png	 4+8=?
8531.png	 8+0=?
8532.png	 4x9=?
8533.png	 8x3=?
8534.png	 4+1=?
8535.png	 5+3=?
8536.png	 3x3=?
8537.png	 2+4=?
8538.png	 7x3=?
8539.png	 4-9=?
8540.png	 9x5=?
8541.png	 7+2=?
8542.png	 0-7=?
8543.png	 4x2=?
8544.png	 9+4=?
8545.png	 5+4=?
8546.png	 9-3=?
8547.png	 3-0=?
8548.png	 0x0=?
8549.png	 7-3=?
8550.png	 6x4=?
8551.png	 6-9=?
8552.png	 5-4=?
8553.png	 0-3=?
8554.png	 0+6=?
8555.png	 8+6=?
8556.png	 5-6=?
8557.png	 1x6=?
8558.png	 9-6=?
8559.png	 6-4=?
8560.png	 9x7=?
8561.png	 7-5=?
8562.png	 9x7=?
8563.png	 5+3=?
8564.png	 9-0=?
8565.png	 4x1=?
8566.png	 3x2=?
8567.png	 4+7=?
8568.png	 6x3=?
8569.png	 9+3=?
8570.png	 7x7=?
8571.png	 8-6=?
8572.png	 3-7=?
8573.png	 6+0=?
8574.png	 4+8=?
8575.png	 8-1=?
8576.png	 4x9=?
8577.png	 3x7=?
8578.png	 2-9=?
8579.png	 3-9=?
8580.png	 6+4=?
8581.png	 1x4=?
8582.png	 6-9=?
8583.png	 1+7=?
8584.png	 2+8=?
8585.png	 8x2=?
8586.png	 5x7=?
8587.png	 8-4=?
8588.png	 3-5=?
8589.png	 9x1=?
8590.png	 3-2=?
8591.png	 2+2=?
8592.png	 3x3=?
8593.png	 1-3=?
8594.png	 3x6=?
8595.png	 6-0=?
8596.png	 1-4=?
8597.png	 7+8=?
8598.png	 5x7=?
8599.png	 8-5=?
8600.png	 3-7=?
8601.png	 7x9=?
8602.png	 9+2=?
8603.png	 5x5=?
8604.png	 7+9=?
8605.png	 5-0=?
8606.png	 2x8=?
8607.png	 5x6=?
8608.png	 4+9=?
8609.png	 8x0=?
8610.png	 4x9=?
8611.png	 9+4=?
8612.png	 4-4=?
8613.png	 4-0=?
8614.png	 9x7=?
8615.png	 3-0=?
8616.png	 0x6=?
8617.png	 6x8=?
8618.png	 1+7=?
8619.png	 1-4=?
8620.png	 4x8=?
8621.png	 2+3=?
8622.png	 0-2=?
8623.png	 9+4=?
8624.png	 1x4=?
8625.png	 9-2=?
8626.png	 5+3=?
8627.png	 9+9=?
8628.png	 2x3=?
8629.png	 4x8=?
8630.png	 6-8=?
8631.png	 7x1=?
8632.png	 2+5=?
8633.png	 4+8=?
8634.png	 2x1=?
8635.png	 0+8=?
8636.png	 7+0=?
8637.png	 9-0=?
8638.png	 2-7=?
8639.png	 7+1=?
8640.png	 7x8=?
8641.png	 5x8=?
8642.png	 3x2=?
8643.png	 5x2=?
8644.png	 7+6=?
8645.png	 9-0=?
8646.png	 3-2=?
8647.png	 7+8=?
8648.png	 5x8=?
8649.png	 7-0=?
8650.png	 9x3=?
8651.png	 2+8=?
8652.png	 5x5=?
8653.png	 1+7=?
8654.png	 5x9=?
8655.png	 5x3=?
8656.png	 1+4=?
8657.png	 6x6=?
8658.png	 6+0=?
8659.png	 9x3=?
8660.png	 0+0=?
8661.png	 6+5=?
8662.png	 0x8=?
8663.png	 1-7=?
8664.png	 8-9=?
8665.png	 3x9=?
8666.png	 2+8=?
8667.png	 7+6=?
8668.png	 3-4=?
8669.png	 0x0=?
8670.png	 5+9=?
8671.png	 5x9=?
8672.png	 6x1=?
8673.png	 1+9=?
8674.png	 3+7=?
8675.png	 6-7=?
8676.png	 2x2=?
8677.png	 8+1=?
8678.png	 8+8=?
8679.png	 1x9=?
8680.png	 0+5=?
8681.png	 7-1=?
8682.png	 3x8=?
8683.png	 2x4=?
8684.png	 8x5=?
8685.png	 5+4=?
8686.png	 5x5=?
8687.png	 3x5=?
8688.png	 8+5=?
8689.png	 2-5=?
8690.png	 0x9=?
8691.png	 4+7=?
8692.png	 3+8=?
8693.png	 9+3=?
8694.png	 4x1=?
8695.png	 1+9=?
8696.png	 9x1=?
8697.png	 9-0=?
8698.png	 3+8=?
8699.png	 0+7=?
8700.png	 3x6=?
8701.png	 4+9=?
8702.png	 6-0=?
8703.png	 2+4=?
8704.png	 7+8=?
8705.png	 5-2=?
8706.png	 0+3=?
8707.png	 6x4=?
8708.png	 5-7=?
8709.png	 7x1=?
8710.png	 1-7=?
8711.png	 8-4=?
8712.png	 0+5=?
8713.png	 6x6=?
8714.png	 3-4=?
8715.png	 4+9=?
8716.png	 4-4=?
8717.png	 8-7=?
8718.png	 0+0=?
8719.png	 4x3=?
8720.png	 8x6=?
8721.png	 7+6=?
8722.png	 5x5=?
8723.png	 2+7=?
8724.png	 9+2=?
8725.png	 2+4=?
8726.png	 5+8=?
8727.png	 4+8=?
8728.png	 1+2=?
8729.png	 7x3=?
8730.png	 3+2=?
8731.png	 7-7=?
8732.png	 4-2=?
8733.png	 6+9=?
8734.png	 3x4=?
8735.png	 3x2=?
8736.png	 4x5=?
8737.png	 4+6=?
8738.png	 6-6=?
8739.png	 6+7=?
8740.png	 1-4=?
8741.png	 0x6=?
8742.png	 8x5=?
8743.png	 2-0=?
8744.png	 9x8=?
8745.png	 9-2=?
8746.png	 9+6=?
8747.png	 0-9=?
8748.png	 0-3=?
8749.png	 6+5=?
8750.png	 7-2=?
8751.png	 8-9=?
8752.png	 6+3=?
8753.png	 3-2=?
8754.png	 3+2=?
8755.png	 1-0=?
8756.png	 7x5=?
8757.png	 4+8=?
8758.png	 5-2=?
8759.png	 0x5=?
8760.png	 2x2=?
8761.png	 9-5=?
8762.png	 6x2=?
8763.png	 5+4=?
8764.png	 1x9=?
8765.png	 7-8=?
8766.png	 8-6=?
8767.png	 6-9=?
8768.png	 0x4=?
8769.png	 9x5=?
8770.png	 1+3=?
8771.png	 3-3=?
8772.png	 3+9=?
8773.png	 7+8=?
8774.png	 8-1=?
8775.png	 5x6=?
8776.png	 9-0=?
8777.png	 8-4=?
8778.png	 0-9=?
8779.png	 6+1=?
8780.png	 3+8=?
8781.png	 9+5=?
8782.png	 2-7=?
8783.png	 7+7=?
8784.png	 2+9=?
8785.png	 6-0=?
8786.png	 1-5=?
8787.png	 7+9=?
8788.png	 9x1=?
8789.png	 2-2=?
8790.png	 2-7=?
8791.png	 6x2=?
8792.png	 7x7=?
8793.png	 9-4=?
8794.png	 7-1=?
8795.png	 5x2=?
8796.png	 6+1=?
8797.png	 9+9=?
8798.png	 3-4=?
8799.png	 4x2=?
8800.png	 8-0=?
8801.png	 1x0=?
8802.png	 9+9=?
8803.png	 0x3=?
8804.png	 3x5=?
8805.png	 1x7=?
8806.png	 1x6=?
8807.png	 3+1=?
8808.png	 0x9=?
8809.png	 9+5=?
8810.png	 5+9=?
8811.png	 5x6=?
8812.png	 6+8=?
8813.png	 0+7=?
8814.png	 0x7=?
8815.png	 7-3=?
8816.png	 6+1=?
8817.png	 7+3=?
8818.png	 9+6=?
8819.png	 9+2=?
8820.png	 4x7=?
8821.png	 7x6=?
8822.png	 9-5=?
8823.png	 6+9=?
8824.png	 0+6=?
8825.png	 6-4=?
8826.png	 3-3=?
8827.png	 9+4=?
8828.png	 0+4=?
8829.png	 6+8=?
8830.png	 4x7=?
8831.png	 0x1=?
8832.png	 7+8=?
8833.png	 0+3=?
8834.png	 2+8=?
8835.png	 8x8=?
8836.png	 8x9=?
8837.png	 9x3=?
8838.png	 0+1=?
8839.png	 0-7=?
8840.png	 4-4=?
8841.png	 9-1=?
8842.png	 2-6=?
8843.png	 8x6=?
8844.png	 7-8=?
8845.png	 6x0=?
8846.png	 2+5=?
8847.png	 3-0=?
8848.png	 2+9=?
8849.png	 3x0=?
8850.png	 5x5=?
8851.png	 7-8=?
8852.png	 8+6=?
8853.png	 7+8=?
8854.png	 6-3=?
8855.png	 0-3=?
8856.png	 6+9=?
8857.png	 9x5=?
8858.png	 6+2=?
8859.png	 0+0=?
8860.png	 5+0=?
8861.png	 5-1=?
8862.png	 0+3=?
8863.png	 9x7=?
8864.png	 0x0=?
8865.png	 1x2=?
8866.png	 5x8=?
8867.png	 8-5=?
8868.png	 5+1=?
8869.png	 6x4=?
8870.png	 1x2=?
8871.png	 7-0=?
8872.png	 7+1=?
8873.png	 6+0=?
8874.png	 1+3=?
8875.png	 5-3=?
8876.png	 3-8=?
8877.png	 9+8=?
8878.png	 5x3=?
8879.png	 1x7=?
8880.png	 1-2=?
8881.png	 8-5=?
8882.png	 4+7=?
8883.png	 0-4=?
8884.png	 1-6=?
8885.png	 5x0=?
8886.png	 7+2=?
8887.png	 5-4=?
8888.png	 1-7=?
8889.png	 2+9=?
8890.png	 9-3=?
8891.png	 3-3=?
8892.png	 3+2=?
8893.png	 3-6=?
8894.png	 6x4=?
8895.png	 5x6=?
8896.png	 5x7=?
8897.png	 7+4=?
8898.png	 2-1=?
8899.png	 1-5=?
8900.png	 4-6=?
8901.png	 0+4=?
8902.png	 1-4=?
8903.png	 4x0=?
8904.png	 2+8=?
8905.png	 4x8=?
8906.png	 4x1=?
8907.png	 0+7=?
8908.png	 0-9=?
8909.png	 9-6=?
8910.png	 7+7=?
8911.png	 2+7=?
8912.png	 8x0=?
8913.png	 9+2=?
8914.png	 0+5=?
8915.png	 3-9=?
8916.png	 9x6=?
8917.png	 0x2=?
8918.png	 3+3=?
8919.png	 2-3=?
8920.png	 6x0=?
8921.png	 5+7=?
8922.png	 8+8=?
8923.png	 3+6=?
8924.png	 8+6=?
8925.png	 4-7=?
8926.png	 0-8=?
8927.png	 3-2=?
8928.png	 1+5=?
8929.png	 7-9=?
8930.png	 7-6=?
8931.png	 1x0=?
8932.png	 4+9=?
8933.png	 2+0=?
8934.png	 1-8=?
8935.png	 6x7=?
8936.png	 4x8=?
8937.png	 8x6=?
8938.png	 1-6=?
8939.png	 0+1=?
8940.png	 0x6=?
8941.png	 6+1=?
8942.png	 8+8=?
8943.png	 4x7=?
8944.png	 5-9=?
8945.png	 6x8=?
8946.png	 0x8=?
8947.png	 4-4=?
8948.png	 2-9=?
8949.png	 1-5=?
8950.png	 0x0=?
8951.png	 1+9=?
8952.png	 0x2=?
8953.png	 2+3=?
8954.png	 9-3=?
8955.png	 3+3=?
8956.png	 3+2=?
8957.png	 0x7=?
8958.png	 8-4=?
8959.png	 5x9=?
8960.png	 9-9=?
8961.png	 2x8=?
8962.png	 5-7=?
8963.png	 2-8=?
8964.png	 1+0=?
8965.png	 1x5=?
8966.png	 2x4=?
8967.png	 4-4=?
8968.png	 6-1=?
8969.png	 3x8=?
8970.png	 7-2=?
8971.png	 8-2=?
8972.png	 7+5=?
8973.png	 1-7=?
8974.png	 1x1=?
8975.png	 4+2=?
8976.png	 6+3=?
8977.png	 1-6=?
8978.png	 2+5=?
8979.png	 6-7=?
8980.png	 8x2=?
8981.png	 4x7=?
8982.png	 1-8=?
8983.png	 3+7=?
8984.png	 5+3=?
8985.png	 0-5=?
8986.png	 0x0=?
8987.png	 7-5=?
8988.png	 8+6=?
8989.png	 9x7=?
8990.png	 8+5=?
8991.png	 8x1=?
8992.png	 2x8=?
8993.png	 1+7=?
8994.png	 3-7=?
8995.png	 2x5=?
8996.png	 1-0=?
8997.png	 7-3=?
8998.png	 0x0=?
8999.png	 7+2=?
9000.png	 8-9=?
9001.png	 6x8=?
9002.png	 9+6=?
9003.png	 3+6=?
9004.png	 1+5=?
9005.png	 2-9=?
9006.png	 8-7=?
9007.png	 0+8=?
9008.png	 0+0=?
9009.png	 2-3=?
9010.png	 9-9=?
9011.png	 1-3=?
9012.png	 0x7=?
9013.png	 9x4=?
9014.png	 9-2=?
9015.png	 9x8=?
9016.png	 5+2=?
9017.png	 5x9=?
9018.png	 3-5=?
9019.png	 3+8=?
9020.png	 8+3=?
9021.png	 0+3=?
9022.png	 8x5=?
9023.png	 9-2=?
9024.png	 5+8=?
9025.png	 6x9=?
9026.png	 3x3=?
9027.png	 6+8=?
9028.png	 9+6=?
9029.png	 6+8=?
9030.png	 9-2=?
9031.png	 7x1=?
9032.png	 5+9=?
9033.png	 3-2=?
9034.png	 1x7=?
9035.png	 8+2=?
9036.png	 1x5=?
9037.png	 9x2=?
9038.png	 3-2=?
9039.png	 4+2=?
9040.png	 8+6=?
9041.png	 8x8=?
9042.png	 3x6=?
9043.png	 2-8=?
9044.png	 5-8=?
9045.png	 0-8=?
9046.png	 9x5=?
9047.png	 8+2=?
9048.png	 6-3=?
9049.png	 8x4=?
9050.png	 8+7=?
9051.png	 2+5=?
9052.png	 4-8=?
9053.png	 5-7=?
9054.png	 3-1=?
9055.png	 6-7=?
9056.png	 0+4=?
9057.png	 4-1=?
9058.png	 9-5=?
9059.png	 9+2=?
9060.png	 4x1=?
9061.png	 6+2=?
9062.png	 4x1=?
9063.png	 8-5=?
9064.png	 8x5=?
9065.png	 5-0=?
9066.png	 4+7=?
9067.png	 3x7=?
9068.png	 9x3=?
9069.png	 4-8=?
9070.png	 9+0=?
9071.png	 8-1=?
9072.png	 5-8=?
9073.png	 6+7=?
9074.png	 4-6=?
9075.png	 0-6=?
9076.png	 3x5=?
9077.png	 1-1=?
9078.png	 7x5=?
9079.png	 2x1=?
9080.png	 2x8=?
9081.png	 2x0=?
9082.png	 9+8=?
9083.png	 5+8=?
9084.png	 5x8=?
9085.png	 8x3=?
9086.png	 8+9=?
9087.png	 7-9=?
9088.png	 1+1=?
9089.png	 7x7=?
9090.png	 7+3=?
9091.png	 7+5=?
9092.png	 5+0=?
9093.png	 2-4=?
9094.png	 0-6=?
9095.png	 3x1=?
9096.png	 2+8=?
9097.png	 3+7=?
9098.png	 5-6=?
9099.png	 6x5=?
9100.png	 3+5=?
9101.png	 2+1=?
9102.png	 8-6=?
9103.png	 5x2=?
9104.png	 4+8=?
9105.png	 4-9=?
9106.png	 9+7=?
9107.png	 1-7=?
9108.png	 7-4=?
9109.png	 0x9=?
9110.png	 0-1=?
9111.png	 4+6=?
9112.png	 1+5=?
9113.png	 1+8=?
9114.png	 7x9=?
9115.png	 0x3=?
9116.png	 9+5=?
9117.png	 4+2=?
9118.png	 0+6=?
9119.png	 9-7=?
9120.png	 0+1=?
9121.png	 1+7=?
9122.png	 1+6=?
9123.png	 9+8=?
9124.png	 5x0=?
9125.png	 3+7=?
9126.png	 6-9=?
9127.png	 2+7=?
9128.png	 9x8=?
9129.png	 4+7=?
9130.png	 9x7=?
9131.png	 0+6=?
9132.png	 9+6=?
9133.png	 1x1=?
9134.png	 3+8=?
9135.png	 4x9=?
9136.png	 0-1=?
9137.png	 2+8=?
9138.png	 8+1=?
9139.png	 8x4=?
9140.png	 1x9=?
9141.png	 7x9=?
9142.png	 5+6=?
9143.png	 4x1=?
9144.png	 5x0=?
9145.png	 7x4=?
9146.png	 4+8=?
9147.png	 8x9=?
9148.png	 9-7=?
9149.png	 7+0=?
9150.png	 9x6=?
9151.png	 4x2=?
9152.png	 0x4=?
9153.png	 4-6=?
9154.png	 6x1=?
9155.png	 9-7=?
9156.png	 9+6=?
9157.png	 1x4=?
9158.png	 5+5=?
9159.png	 7x7=?
9160.png	 5-3=?
9161.png	 8-9=?
9162.png	 5-6=?
9163.png	 7+8=?
9164.png	 5-0=?
9165.png	 3x4=?
9166.png	 5-2=?
9167.png	 8+1=?
9168.png	 7-4=?
9169.png	 7-5=?
9170.png	 4-2=?
9171.png	 5+1=?
9172.png	 8x7=?
9173.png	 3x2=?
9174.png	 8x2=?
9175.png	 9x1=?
9176.png	 3x7=?
9177.png	 6+1=?
9178.png	 3-1=?
9179.png	 6+9=?
9180.png	 3-2=?
9181.png	 3-6=?
9182.png	 5-4=?
9183.png	 1x8=?
9184.png	 0+4=?
9185.png	 5-9=?
9186.png	 1-3=?
9187.png	 8+1=?
9188.png	 9-5=?
9189.png	 3-4=?
9190.png	 2+9=?
9191.png	 9+0=?
9192.png	 6x8=?
9193.png	 8+4=?
9194.png	 4x0=?
9195.png	 3x3=?
9196.png	 1-0=?
9197.png	 8x1=?
9198.png	 5-7=?
9199.png	 5x0=?
9200.png	 2x0=?
9201.png	 8-0=?
9202.png	 8+0=?
9203.png	 1+2=?
9204.png	 7+8=?
9205.png	 7x3=?
9206.png	 0+4=?
9207.png	 6x5=?
9208.png	 1-8=?
9209.png	 8+4=?
9210.png	 4-9=?
9211.png	 8-0=?
9212.png	 0+6=?
9213.png	 4+6=?
9214.png	 5-3=?
9215.png	 0+5=?
9216.png	 5x7=?
9217.png	 0+6=?
9218.png	 6x4=?
9219.png	 3+4=?
9220.png	 9+4=?
9221.png	 8-7=?
9222.png	 0x9=?
9223.png	 3+9=?
9224.png	 3+4=?
9225.png	 2x8=?
9226.png	 3+7=?
9227.png	 0+6=?
9228.png	 8x4=?
9229.png	 3-3=?
9230.png	 6x3=?
9231.png	 3+9=?
9232.png	 6-1=?
9233.png	 5+3=?
9234.png	 7+6=?
9235.png	 8x0=?
9236.png	 7x0=?
9237.png	 2x2=?
9238.png	 3x9=?
9239.png	 6x3=?
9240.png	 1x0=?
9241.png	 7x8=?
9242.png	 7+2=?
9243.png	 8+5=?
9244.png	 0x4=?
9245.png	 8x9=?
9246.png	 9-9=?
9247.png	 1+0=?
9248.png	 3+8=?
9249.png	 0+0=?
9250.png	 5x7=?
9251.png	 3+5=?
9252.png	 6-7=?
9253.png	 8-0=?
9254.png	 5x2=?
9255.png	 3x8=?
9256.png	 7+5=?
9257.png	 0-1=?
9258.png	 7x9=?
9259.png	 5-5=?
9260.png	 0x4=?
9261.png	 5+4=?
9262.png	 5-3=?
9263.png	 3+5=?
9264.png	 1+2=?
9265.png	 3+0=?
9266.png	 2-3=?
9267.png	 9+6=?
9268.png	 5+1=?
9269.png	 7x8=?
9270.png	 2+6=?
9271.png	 5+8=?
9272.png	 1x0=?
9273.png	 3+7=?
9274.png	 5+6=?
9275.png	 7-3=?
9276.png	 3+6=?
9277.png	 0+5=?
9278.png	 1+7=?
9279.png	 5x7=?
9280.png	 0+0=?
9281.png	 5+8=?
9282.png	 9+3=?
9283.png	 7+8=?
9284.png	 8-3=?
9285.png	 2x0=?
9286.png	 3x2=?
9287.png	 8-1=?
9288.png	 0+8=?
9289.png	 2-6=?
9290.png	 5-9=?
9291.png	 2x2=?
9292.png	 1-5=?
9293.png	 9x9=?
9294.png	 7-2=?
9295.png	 6x8=?
9296.png	 8-9=?
9297.png	 5x3=?
9298.png	 9+0=?
9299.png	 0+8=?
9300.png	 9x3=?
9301.png	 0+2=?
9302.png	 8+5=?
9303.png	 5-2=?
9304.png	 3x3=?
9305.png	 6-3=?
9306.png	 0-6=?
9307.png	 3x0=?
9308.png	 0-9=?
9309.png	 1+7=?
9310.png	 3x4=?
9311.png	 9+8=?
9312.png	 6x6=?
9313.png	 2x9=?
9314.png	 3-2=?
9315.png	 0x3=?
9316.png	 8x1=?
9317.png	 8x2=?
9318.png	 7+3=?
9319.png	 9-3=?
9320.png	 1+3=?
9321.png	 8+8=?
9322.png	 0-0=?
9323.png	 4-3=?
9324.png	 6-3=?
9325.png	 7+1=?
9326.png	 0x0=?
9327.png	 8x7=?
9328.png	 7-6=?
9329.png	 2-7=?
9330.png	 6+5=?
9331.png	 5x1=?
9332.png	 5+5=?
9333.png	 7+9=?
9334.png	 6+8=?
9335.png	 3x4=?
9336.png	 0x3=?
9337.png	 8x1=?
9338.png	 3+6=?
9339.png	 9x8=?
9340.png	 1+0=?
9341.png	 3+4=?
9342.png	 3-3=?
9343.png	 7-1=?
9344.png	 2-3=?
9345.png	 4-1=?
9346.png	 8x2=?
9347.png	 8+1=?
9348.png	 7+5=?
9349.png	 8-0=?
9350.png	 6+8=?
9351.png	 4-1=?
9352.png	 1-8=?
9353.png	 9-4=?
9354.png	 8-6=?
9355.png	 1+2=?
9356.png	 9+7=?
9357.png	 6x8=?
9358.png	 0x7=?
9359.png	 6+6=?
9360.png	 5+1=?
9361.png	 6+0=?
9362.png	 2x1=?
9363.png	 6-6=?
9364.png	 6x7=?
9365.png	 1-2=?
9366.png	 4x2=?
9367.png	 6-6=?
9368.png	 4-7=?
9369.png	 1+6=?
9370.png	 5-9=?
9371.png	 9+5=?
9372.png	 1-6=?
9373.png	 1+7=?
9374.png	 3+1=?
9375.png	 6x5=?
9376.png	 8-4=?
9377.png	 3+1=?
9378.png	 3x3=?
9379.png	 2x0=?
9380.png	 7+6=?
9381.png	 7x0=?
9382.png	 2-6=?
9383.png	 5x7=?
9384.png	 5-9=?
9385.png	 0+2=?
9386.png	 0+4=?
9387.png	 6+3=?
9388.png	 1-3=?
9389.png	 2+6=?
9390.png	 9+8=?
9391.png	 7+9=?
9392.png	 4+6=?
9393.png	 4-8=?
9394.png	 6+9=?
9395.png	 3x4=?
9396.png	 0+2=?
9397.png	 3-8=?
9398.png	 8x5=?
9399.png	 1+3=?
9400.png	 9+9=?
9401.png	 9x7=?
9402.png	 2+1=?
9403.png	 2-1=?
9404.png	 2+2=?
9405.png	 2+5=?
9406.png	 3+8=?
9407.png	 0x5=?
9408.png	 9-4=?
9409.png	 1x8=?
9410.png	 2x7=?
9411.png	 2-3=?
9412.png	 3x3=?
9413.png	 6x7=?
9414.png	 7x7=?
9415.png	 2-8=?
9416.png	 8x0=?
9417.png	 8-5=?
9418.png	 4-8=?
9419.png	 4-9=?
9420.png	 4x3=?
9421.png	 0+9=?
9422.png	 6+6=?
9423.png	 0+6=?
9424.png	 8-3=?
9425.png	 8+2=?
9426.png	 0+9=?
9427.png	 8-0=?
9428.png	 1+3=?
9429.png	 6-8=?
9430.png	 8-4=?
9431.png	 7+4=?
9432.png	 8+3=?
9433.png	 7-8=?
9434.png	 7x5=?
9435.png	 3x6=?
9436.png	 1x9=?
9437.png	 0-6=?
9438.png	 7+6=?
9439.png	 9+0=?
9440.png	 3+9=?
